datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-23 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67046,megawatthours
2025-08-23 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69603,megawatthours
2025-08-23 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72236,megawatthours
2025-08-23 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,75153,megawatthours
2025-08-22 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77153,megawatthours
2025-08-22 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77258,megawatthours
2025-08-22 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,76176,megawatthours
2025-08-22 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,74748,megawatthours
2025-08-22 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72672,megawatthours
2025-08-22 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,69730,megawatthours
2025-08-22 17:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,67128,megawatthours
2025-08-22 16:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,63780,megawatthours
2025-08-22 15:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60534,megawatthours
2025-08-22 14:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,57727,megawatthours
2025-08-22 13:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55537,megawatthours
2025-08-22 12:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,54903,megawatthours
2025-08-22 11:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52971,megawatthours
2025-08-22 10:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52170,megawatthours
2025-08-22 09:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52617,megawatthours
2025-08-22 08:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53575,megawatthours
2025-08-22 07:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55035,megawatthours
2025-08-22 06:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,57268,megawatthours
2025-08-22 05:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,60498,megawatthours
2025-08-22 04:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,64341,megawatthours
2025-08-22 03:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,68030,megawatthours
2025-08-22 02:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,70763,megawatthours
2025-08-22 01:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,72821,megawatthours
2025-08-22 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,76291,megawatthours
2025-08-21 23:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,78843,megawatthours
2025-08-21 22:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,79366,megawatthours
2025-08-21 21:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,79077,megawatthours
2025-08-21 20:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,78831,megawatthours
2025-08-21 19:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,77924,megawatthours
2025-08-21 18:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,74910,megawatthours
2025-08-21 17:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,70896,megawatthours
2025-08-21 16:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,66404,megawatthours
2025-08-21 15:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,62255,megawatthours
