datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-22 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,82815,megawatthours
2025-08-22 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80082,megawatthours
2025-08-22 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80149,megawatthours
2025-08-22 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,81426,megawatthours
2025-08-22 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83962,megawatthours
2025-08-22 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87459,megawatthours
2025-08-22 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,91718,megawatthours
2025-08-22 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,96050,megawatthours
2025-08-22 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,100744,megawatthours
2025-08-22 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,103568,megawatthours
2025-08-22 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,104521,megawatthours
2025-08-21 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,105720,megawatthours
2025-08-21 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,105662,megawatthours
2025-08-21 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,104676,megawatthours
2025-08-21 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,103826,megawatthours
2025-08-21 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,103323,megawatthours
2025-08-21 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,102744,megawatthours
2025-08-21 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,101354,megawatthours
2025-08-21 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,100383,megawatthours
2025-08-21 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,98750,megawatthours
2025-08-21 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,97142,megawatthours
2025-08-21 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,95390,megawatthours
2025-08-21 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,94630,megawatthours
2025-08-21 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,91388,megawatthours
2025-08-21 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,86312,megawatthours
2025-08-21 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83806,megawatthours
2025-08-21 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83613,megawatthours
2025-08-21 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,85125,megawatthours
2025-08-21 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87673,megawatthours
2025-08-21 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,91363,megawatthours
2025-08-21 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,95348,megawatthours
2025-08-21 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,100759,megawatthours
2025-08-21 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,106165,megawatthours
2025-08-21 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,110038,megawatthours
2025-08-21 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,111418,megawatthours
2025-08-20 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,113794,megawatthours
2025-08-20 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,115533,megawatthours
2025-08-20 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,114608,megawatthours
2025-08-20 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,113299,megawatthours
2025-08-20 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,112068,megawatthours
2025-08-20 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,110317,megawatthours
2025-08-20 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,108226,megawatthours
2025-08-20 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,106141,megawatthours
2025-08-20 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,103826,megawatthours
2025-08-20 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,102091,megawatthours
2025-08-20 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,100499,megawatthours
2025-08-20 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,98839,megawatthours
2025-08-20 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,95035,megawatthours
2025-08-20 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,89752,megawatthours
2025-08-20 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87012,megawatthours
